"","path","filename","weight","category","source","notes"
"22","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/HwBa_Blueberry.tif","HwBa_Blueberry.tif",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
"23","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Cw_Swordfern.tif","Cw_Swordfern.tif",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
"24","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/CwSs_Skunkcabbage.tif","CwSs_Skunkcabbage.tif",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
"25","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/RockOutcrop.tif","RockOutcrop.tif",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
"26","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/FdHw_Salal.tif","FdHw_Salal.tif",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
"27","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Cw_Foamflower.tif","Cw_Foamflower.tif",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
"28","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/HwFd_Kindbergia.tif","HwFd_Kindbergia.tif",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
"29","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/Hw_Flatmoss.tif","Hw_Flatmoss.tif",1,"Terrestrial","TEM","Detailed types, plant community descriptions"
"30","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/riparian.tif","riparian.tif",1,"Freshwater","MVSEI",""
"31","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/streams.tif","streams.tif",1,"Freshwater","Alan Whitehead","Raster value 3 for fish-bearing streams, 2 for non-fish bearing, 1 for drainage channel and NA"
"32","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/lakes.tif","lakes.tif",1,"Freshwater","MVSEI",""
"33","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/ponds.tif","ponds.tif",1,"Freshwater","Alan Whitehead","replaces MVSEI"
"34","/home/jay/Programming_Projects/bowen.biodiversity.webapp/inst/extdata/habitats/wetlands.tif","wetlands.tif",1,"Freshwater","Alan Whitehead","replaces MVSEI"
